ID_REF	VALUE
1553627_s_at	4.2634
1553629_a_at	2.4746
1553630_at	2.3514
1553633_s_at	4.045
1553634_a_at	3.4999
1553635_s_at	3.5431
1553636_at	1.8979
1553637_s_at	2.6858
1553639_a_at	3.7698
1553640_at	2.835
1553641_a_at	2.3343
1553642_at	3.1268
1553644_at	2.6252
1553645_at	3.3542
1553646_at	3.2522
1553647_at	3.3782
1553651_at	2.7584
1553652_a_at	2.8224
1553654_at	1.9317
1553655_at	1.7996
1553656_at	2.159
1553657_at	2.3787
1553658_at	3.3969
1553660_at	3.5283
1553661_a_at	2.3216
1553663_a_at	3.3545
1553666_at	3.3296
1553668_at	4.3163
1553670_at	3.2439
1553672_at	3.7203
1553673_at	3.165
1553674_at	2.7539
1553675_at	2.5675
1553677_a_at	4.0832
1553678_a_at	8.1986
1553679_s_at	3.53
1553681_a_at	2.7354
1553682_at	4.6162
1553683_s_at	4.0056
1553684_at	2.9542
1553685_s_at	3.2178
1553686_at	4.5896
1553688_at	2.8031
1553689_s_at	7.6286
1553690_at	3.4338
1553691_at	3.5625
1553693_s_at	9.5791
1553694_a_at	4.658
1553695_a_at	4.2902
1553696_s_at	5.7787
1553697_at	5.2611
1553698_a_at	3.95
1553701_a_at	3.3146
1553702_at	2.9388
1553703_at	6.5937
1553704_x_at	6.2352
1553705_a_at	4.5418
1553706_at	3.0812
1553708_at	1.8589
1553709_a_at	7.1143
1553710_at	5.1585
1553711_a_at	5.1522
1553713_a_at	3.6458
1553715_s_at	3.8686
1553717_at	5.7792
1553718_at	10.4864
1553719_s_at	8.8405
1553720_a_at	3.2829
1553721_at	2.1817
1553722_s_at	2.9281
1553723_at	2.5318
1553725_s_at	3.3798
1553726_s_at	4.1412
1553727_at	2.604
1553728_at	2.5135
1553729_s_at	2.533
1553730_x_at	2.0397
1553732_s_at	3.496
1553734_at	3.2902
1553736_at	3.2987
1553739_at	2.4284
1553740_a_at	2.907
1553741_at	2.5158
1553743_at	5.7794
1553746_a_at	3.4139
1553747_at	1.9197
1553749_at	9.1056
1553750_a_at	4.0861
1553752_at	3.4577
1553755_at	3.2812
1553756_at	2.7879
1553757_at	6.2984
1553759_at	5.5092
1553761_at	3.3087
1553764_a_at	9.3572
1553765_a_at	2.1675
1553768_a_at	4.5441
1553769_at	2.5581
1553770_a_at	3.0027
1553772_at	4.5749
1553775_at	3.8138
1553776_at	2.5308
1553778_at	2.3948
1553780_at	3.1577
1553781_at	3.1471
1553785_at	4.0755
1553787_at	5.5232
1553789_a_at	5.4132
1553792_at	3.1263
1553793_a_at	3.9781
1553794_at	2.6234
1553796_at	2.6931
1553797_a_at	2.6614
1553798_a_at	3.7374
1553799_at	3.8304
1553801_a_at	4.4139
1553802_a_at	3.0514
1553803_at	2.8868
1553804_a_at	3.2375
1553805_at	3.1958
1553808_a_at	2.5058
1553809_a_at	2.1574
1553810_a_at	2.7862
1553811_at	2.8431
1553812_at	3.2794
1553813_s_at	2.5218
1553815_a_at	5.4256
1553817_at	2.6715
1553818_x_at	2.8347
1553821_at	2.4283
1553822_at	3.0166
1553823_a_at	2.3304
1553826_a_at	2.5763
1553828_at	2.6616
1553829_at	4.8063
1553830_s_at	2.721
1553831_at	2.8439
1553832_at	3.1503
1553834_at	3.625
1553835_a_at	4.146
1553837_at	2.5192
1553838_at	2.3842
1553839_at	5.3483
1553840_a_at	5.1658
1553842_at	2.5764
1553843_at	3.2752
1553844_a_at	3.266
1553845_x_at	3.5534
1553846_at	2.4858
1553847_a_at	2.8758
1553849_at	2.3438
1553850_at	2.2848
1553851_at	1.8323
1553852_at	3.2822
1553856_s_at	2.5316
1553857_at	5.2917
1553858_at	8.9031
1553859_at	3.1215
1553860_at	2.1954
1553861_at	3.5959
1553863_at	2.2178
1553864_at	3.0369
1553865_a_at	2.1848
1553868_a_at	2.1025
1553869_at	2.5279
1553871_at	2.4463
1553872_at	3.4796
1553873_at	2.8315
1553874_a_at	2.7891
1553875_s_at	2.3645
1553876_at	2.9226
1553878_at	2.859
1553879_a_at	2.3193
1553880_at	3.0382
1553881_at	2.3054
1553882_at	3.6352
1553883_at	2.058
1553885_x_at	1.6286
1553886_at	2.4932
1553887_at	2.1727
1553888_at	2.6202
1553889_at	2.9599
1553890_s_at	4.2507
1553891_at	2.7507
1553893_at	3.3047
1553894_at	5.8128
1553895_at	2.2247
1553898_a_at	2.2648
1553900_s_at	3.7799
